t(s) V(mV)
0 14,1433
0,969 14,0867
1,901 14,0274
2,863 13,9669
3,826 13,9031
4,809 13,8387
5,81 13,7747
6,81 13,7079
7,809 13,6452
8,809 13,5789
9,809 13,5122
10,809 13,4468
11,809 13,3848
12,81 13,3194
13,809 13,2563
14,809 13,1918
15,809 13,1306
16,81 13,066
17,809 13,0043
18,809 12,9438
19,809 12,8823
20,81 12,8227
21,809 12,7577
22,81 12,6957
23,81 12,6368
24,81 12,5741
25,809 12,5153
26,809 12,4538
27,809 12,3934
28,809 12,3349
29,809 12,2767
30,81 12,2181
31,81 12,1589
32,809 12,1016
33,809 12,0422
34,81 11,9846
35,81 11,9252
36,81 11,8659
37,809 11,8097
38,81 11,7543
39,809 11,6988
40,81 11,6399
41,809 11,585
42,81 11,5278
43,809 11,473
44,809 11,4167
45,81 11,3605
46,81 11,3059
47,81 11,2495
48,81 11,1977
49,81 11,1422
50,81 11,0873
51,809 11,0326
52,809 10,9758
53,809 10,9251
54,809 10,8765
55,809 10,8195
56,81 10,7666
57,809 10,7131
58,81 10,6631
59,809 10,6128
60,808 10,5598
61,809 10,5093
62,808 10,4598
63,808 10,408
64,808 10,3625
65,808 10,3323
66,808 10,2877
67,809 10,2363
68,808 10,187
69,808 10,135
70,809 10,0857
71,808 10,0379
72,81 9,9885
73,809 9,9405
74,81 9,8905
75,809 9,8412
76,81 9,7941
77,809 9,7459
78,81 9,6985
79,809 9,6521
80,809 9,6041
81,809 9,5562
82,809 9,5067
83,81 9,4605
84,809 9,4139
85,81 9,3674
86,809 9,3218
87,81 9,2768
88,809 9,233
89,809 9,1867
90,81 9,1405
91,81 9,0976
92,809 9,0514
93,81 9,0076
94,809 8,9635
95,81 8,9201
96,809 8,8764
97,809 8,8314
98,81 8,7892
99,81 8,7485
100,809 8,7061
101,81 8,6687
102,81 8,6322
103,809 8,5912
104,809 8,5478
105,809 8,507
106,809 8,4641
107,809 8,4223
108,809 8,3812
109,81 8,3381
110,81 8,2971
111,809 8,2554
112,81 8,2149
113,81 8,1759
114,809 8,1347
115,81 8,0957
116,81 8,0511
117,809 8,0118
118,809 7,9721
119,81 7,9329
120,81 7,8928
121,81 7,8528
122,81 7,8154
123,809 7,7755
124,81 7,7377
125,81 7,7002
126,809 7,6626
127,809 7,6213
128,809 7,5846
129,81 7,5493
130,809 7,5126
131,81 7,475
132,809 7,4384
133,81 7,3998
134,809 7,3635
135,81 7,3266
136,809 7,2879
137,81 7,2505
138,809 7,2148
139,81 7,1796
140,809 7,1405
141,81 7,1048
142,809 7,0703
143,81 7,033
144,809 7,0002
145,809 6,9618
