t(s) V(mV)
0 15,9522
0,968 15,9074
1,969 15,8583
2,968 15,8064
3,968 15,7539
4,968 15,7015
5,968 15,6459
6,969 15,5906
7,969 15,5358
8,968 15,4817
9,969 15,4265
10,969 15,3722
11,968 15,3192
12,968 15,2645
13,969 15,2093
14,969 15,1555
15,968 15,1013
16,969 15,0487
17,969 14,9944
18,968 14,9382
19,968 14,8861
20,969 14,8351
21,968 14,7808
22,969 14,7269
23,969 14,6787
24,968 14,6247
25,969 14,5722
26,969 14,5222
27,968 14,4726
28,968 14,417
29,968 14,3656
30,969 14,3152
31,968 14,2658
32,968 14,2162
33,968 14,1652
34,969 14,119
35,968 14,0654
36,968 14,015
37,968 13,9657
38,968 13,9164
39,969 13,8668
40,969 13,8187
41,969 13,77
42,968 13,7197
43,968 13,6724
44,968 13,6248
45,969 13,5789
46,968 13,5303
47,968 13,4786
48,969 13,4312
49,968 13,3835
50,969 13,3373
51,969 13,289
52,968 13,2394
53,969 13,1923
54,968 13,1455
55,968 13,1035
56,969 13,0587
57,968 13,0125
58,968 12,964
59,969 12,9211
60,969 12,8754
61,969 12,8294
62,969 12,7852
63,968 12,7414
64,968 12,6976
65,969 12,653
66,969 12,6078
67,968 12,5656
68,968 12,5212
69,969 12,4758
70,969 12,4345
71,968 12,3912
72,968 12,3469
73,969 12,3011
74,969 12,261
75,968 12,2175
76,968 12,173
77,969 12,1314
78,968 12,0922
79,968 12,0504
80,968 12,0086
81,968 11,968
82,968 11,9274
83,968 11,8872
84,968 11,8467
85,968 11,805
86,968 11,764
87,968 11,7218
88,968 11,6814
89,969 11,6416
90,968 11,6012
91,968 11,56
92,968 11,5194
93,968 11,482
94,968 11,442
95,968 11,4025
96,969 11,3658
97,968 11,3249
98,968 11,283
99,969 11,2502
100,968 11,211
101,969 11,1735
102,968 11,133
103,969 11,0938
104,968 11,0563
105,968 11,0185
106,968 10,9832
107,969 10,943
108,969 10,903
109,968 10,8677
110,968 10,8317
111,968 10,7925
112,969 10,756
113,969 10,7186
114,969 10,6827
115,969 10,6452
116,968 10,6093
117,968 10,5733
118,968 10,5369
119,967 10,5001
120,967 10,4681
121,968 10,4319
122,967 10,3951
123,968 10,3599
124,967 10,3255
125,967 10,2892
126,967 10,2538
127,968 10,2167
128,967 10,181
129,967 10,1461
130,967 10,1131
131,967 10,0754
132,967 10,043
133,968 10,0062
134,969 9,9715
135,969 9,9346
136,969 9,9015
137,969 9,8674
138,968 9,8326
139,968 9,799
140,968 9,7645
141,968 9,7293
142,968 9,6954
143,968 9,6693
144,968 9,6364
145,968 9,6015
146,968 9,5666
147,968 9,5349
148,968 9,5035
149,968 9,4686
150,969 9,439
151,969 9,405
152,968 9,3731
153,968 9,3425
154,969 9,3121
155,968 9,2808
156,968 9,2508
157,968 9,2164
158,968 9,1854
159,968 9,1524
160,968 9,1193
161,968 9,088
162,968 9,0567
163,968 9,0264
164,968 8,9951
165,969 8,9619
166,969 8,9312
167,969 8,8978
168,969 8,8678
169,969 8,8387
170,969 8,8075
171,969 8,7748
172,969 8,743
173,969 8,7154
174,969 8,6834
175,969 8,6511
176,969 8,6211
177,968 8,5916
178,968 8,5606
179,968 8,5357
180,969 8,5045
181,969 8,4758
182,968 8,4431
183,968 8,413
184,968 8,3837
185,969 8,352
186,968 8,3234
187,968 8,294
188,968 8,2645
189,969 8,2389
190,969 8,2096
191,969 8,1791
192,969 8,1487
193,969 8,124
194,969 8,0946
195,969 8,0646
196,969 8,0342
197,968 8,0064
198,968 7,9768
199,968 7,9505
200,968 7,921
201,969 7,8912
